auid,formula,NE,NA,BGAP,EPA,ASPIN,ENPA,VPA,D,BM,SM,YM,ANI,PR,PUGR,IPUGR,DT_AGL,vs,vl,vm,DT_A_AGL,gruneisen,Cv_300,Cp_300,TEX_300,TC_300,VIB_EN_300,VIB_FE_300
aflow:001a4bbb607a30b0,Nb2P2,2,4,0,-7.32258,0,-7.32258,16.2039,6.3475,158.507,79.1079,203.474,2.46964,0.286052,0.499082,2.003678754,469.053,3530.27,5392.58,3868.13,295.451,1.96896,10.6662,10.8413,0.0000277,16.883,0.245604,12.9887
aflow:0035c52ef4fe3fdc,Pt10Se8,2,18,0,-3.90997,0,-3.90997,18.9249,12.5892,132.396,46.8773,125.786,1.04954,0.341654,0.354068,2.824316233,245.998,1929.67,2947.62,2114.35,93.8666,2.4657,52.2938,53.8611,0.00004,1.33708,0.405243,-41.5298
aflow:004419866f33d7b2,Ga1Pd2Sc1,3,4,0,-4.09196,0,-4.09196,16.601,8.18949,121.089,30.5452,84.5282,0.429569,0.383655,0.252255,3.964242532,248.895,1931.27,2950.07,2116.1,156.86,2.28361,11.6111,12.0123,0.0000498,2.43747,0.402005,-40.4934
aflow:006fb71322057339,Cs3In9,2,12,0,-2.29611,0,-2.29611,36.8414,5.37904,21.6987,13.0319,32.5745,0.814781,0.249797,0.600584,1.665046022,148.99,1556.51,2377.61,1705.47,65.0817,2.57809,35.6387,41.4413,0.000194347,0.36912,0.552799,-87.5026
aflow:007edcc20ee1c898,Ca1S1,2,2,2.381,-5.21916,0,-5.21916,23.3449,2.56569,57.1111,38.9633,95.2327,0.210535,0.222083,0.682236,1.465768444,436.099,3896.96,5952.7,4269.91,346.053,1.93521,5.42394,5.6097,0.0000585,14.7572,0.263961,6.17766
aflow:008f8da25d4acde9,Ag2I2,2,4,1.9774,-1.37165,0,-1.37165,33.7968,5.76754,10.8325,4.23405,11.238,2.00831,0.327095,0.390866,2.558421556,133.151,856.806,1308.79,938.805,83.7847,2.49393,11.9,13.2897,0.000149012,0.562013,0.576844,-94.8495
aflow:0096426c57ae3f16,Ag1Zr2,2,3,0,-5.86978,0,-5.86978,21.5623,7.45234,94.3041,34.2884,91.7458,3.0015,0.337855,0.363594,2.750320412,258.016,2145,3276.54,2350.28,178.887,1.9271,8.68414,8.88198,0.0000389,6.13645,0.391793,-37.2142
aflow:009ca3e52fd070b4,La6Ru8Sn26,3,40,0,-4.67084,0,-4.67084,24.755,7.92862,82.0611,31.6573,84.1508,0.497168,0.329089,0.385777,2.592171125,230.033,1998.2,3052.3,2189.43,67.2524,2.27079,116.68,120.456,0.0000469,0.689631,0.422257,-46.9472
aflow:009e856d237a0cd3,Cu1Hf1Hg2,3,4,0,-3.05244,0,-3.05244,19.0498,14.017,100.961,15.6848,44.7376,13.8991,0.426147,0.155355,6.436870394,134.009,1057.82,1615.85,1159.06,84.4147,2.50532,11.8885,12.4233,0.0000585,0.638006,0.56279,-90.5582
aflow:00a84646b3922c25,Ca4Ge4Ni6,3,14,0,-3.24135,0.137069,-3.24135,18.2498,5.21772,70.4623,40.3887,101.729,0.609614,0.259377,0.573196,1.74460394,358.008,2782.21,4249.89,3048.47,148.539,1.87681,39.2357,40.4149,0.000053,3.49629,0.31164,-10.665
aflow:00cd175b0c3d7492,Mn2Sc4Se8,3,14,0.957,-5.96934,0.714224,-5.96934,25.891,4.22096,57.7667,19.8656,53.4678,0.789945,0.345736,0.343894,2.907872775,248.911,2169.43,3313.86,2377.05,103.313,1.90302,40.6345,41.8433,0.0000515,1.46419,0.401586,-40.3595
