,NE,NA,BGAP,EPA,ASPIN,ENPA,VPA,D,BM,SM,YM,ANI,PR,PUGR,IPUGR,DT_AGL,vs,vl,vm,DT_A_AGL,gruneisen,Cv_300,Cp_300,TEX_300,TC_300,VIB_EN_300,VIB_FE_300
NE,1.0,0.1993709009941295,0.0678776801006753,-0.003093434121978826,-0.031201402448894,-0.003093434121978826,-0.12721689685134077,-0.05308188995736236,-0.05492349847620422,-0.05117896297064753,-0.0459293542917509,-0.07342188911427254,-0.01766969895459565,0.006540567944878188,-0.07954154766090603,-0.004306179553491971,-0.019181703722405644,-0.01918172130768033,-0.01918173492533528,-0.18006339863054321,0.07968117522353271,0.21399860235678717,0.21163650574076,-0.08177425148395628,-0.20653635358766523,-0.08972560907198818,0.06540445581174546
NA,0.1993709009941295,1.0,0.051660678673395244,-0.06735740347421701,-0.09350422920661433,-0.06735740347421701,-0.10513791694431249,-0.1043977864714698,0.028468095006726445,0.07705732717430316,0.07379469253484787,-0.1352728444302391,-0.10383106350895599,0.10217709275320856,-0.09132838417373655,0.17252601523035768,0.1704588153441262,0.1704588000398259,0.17045882156542655,-0.2543832335421323,-0.036253720345700124,0.9884790156114454,0.9860333637873612,-0.10496158186876636,-0.20002806842020787,-0.17913854186321282,0.17957702920338153
BGAP,0.0678776801006753,0.051660678673395244,1.0,-0.0827653771409674,-0.030433398952479637,-0.0827653771409674,-0.03816099496832732,-0.3676884512097275,-0.1073283828996864,-0.039654280943409115,-0.04675217625580186,0.011234503680952924,-0.07288695264378442,0.06694149323514205,-0.06959145494779746,0.187289488730809,0.17144049173282871,0.1714406142437411,0.17144061581681092,0.12873093908826225,-0.057430414517939656,0.02979107851216362,0.032775014459768,0.25413029285834077,0.0010725573004564976,-0.13576158289583484,0.15009495830301783
EPA,-0.003093434121978826,-0.06735740347421701,-0.0827653771409674,1.0,-0.21571050239456085,1.0,0.4374449353846474,-0.2072866057468839,-0.6524102193975739,-0.6069936920076326,-0.6264251375629039,0.03564280644555287,0.12095215841306238,-0.11667481682867396,0.07893002314751583,-0.47925482599918556,-0.4595610539056021,-0.45956112050269793,-0.4595610855025967,-0.4197088073189732,0.35452367363178827,-0.029185530119335085,-0.010458538127310416,0.603893198414116,-0.4398991686194035,0.5566817249044975,-0.5459714431665575
ASPIN,-0.031201402448894,-0.09350422920661433,-0.030433398952479637,-0.21571050239456085,1.0,-0.21571050239456074,-0.03771852568814246,-0.014724158196447923,-0.03778914266819796,-0.04447391269517774,-0.043396963407439294,0.04349595151473632,0.03500061822618616,-0.037247293485822695,0.013724195637298608,-0.026350083955750413,-0.030617062075968288,-0.030617059791689886,-0.030617055674342693,0.02729740220738263,-0.027588847611614394,-0.09397452348085672,-0.09380850051077944,-0.005067535216443236,-0.0033255765841987556,0.011761115078354681,-0.016144323425252124
ENPA,-0.003093434121978826,-0.06735740347421701,-0.0827653771409674,1.0,-0.21571050239456074,1.0,0.4374449353846474,-0.2072866057468839,-0.6524102193975739,-0.6069936920076326,-0.6264251375629039,0.03564280644555287,0.12095215841306238,-0.11667481682867396,0.07893002314751583,-0.47925482599918556,-0.4595610539056021,-0.45956112050269793,-0.4595610855025967,-0.4197088073189732,0.35452367363178827,-0.029185530119335085,-0.010458538127310416,0.603893198414116,-0.4398991686194035,0.5566817249044975,-0.5459714431665575
VPA,-0.12721689685134077,-0.10513791694431249,-0.03816099496832732,0.4374449353846474,-0.03771852568814246,0.4374449353846474,1.0,-0.18924427197450444,-0.6989187536248759,-0.6236143455978997,-0.6418351945340489,0.06860476228931342,0.07255038726999548,-0.0816241277299481,0.03113049187693677,-0.6468197243546171,-0.5801507242255247,-0.5801507435595405,-0.5801507591191483,-0.5569675253604163,-0.012761250585075956,-0.04850789893582365,-0.036300510840229255,0.5596177341767434,-0.3859915061337895,0.7533085118106975,-0.7388296519071434
D,-0.05308188995736236,-0.1043977864714698,-0.3676884512097275,-0.2072866057468839,-0.014724158196447923,-0.2072866057468839,-0.18924427197450444,1.0,0.4952196385771648,0.20134627341410113,0.24141779760717033,-0.0029969652368876166,0.38862910564893205,-0.38972497424982216,0.20952115252061798,-0.27303361717984215,-0.34400482867437654,-0.34400483000886517,-0.34400485239681305,-0.2064887220542924,0.3432436155431516,-0.0699814910833392,-0.0766582900219853,-0.3639170485975475,-0.02758759648595932,0.2041752591585033,-0.22355747827186442
BM,-0.05492349847620422,0.028468095006726445,-0.1073283828996864,-0.6524102193975739,-0.03778914266819796,-0.6524102193975739,-0.6989187536248759,0.4952196385771648,1.0,0.8299097841713189,0.8642597480183034,-0.03920857027859939,0.025400969381926625,-0.020819480327202582,0.05244070815567488,0.5678700816620365,0.4917702491901481,0.4917702674660844,0.4917702670063802,0.5269586496516812,-0.005961582185826807,-0.01941453391330671,-0.0349905444138252,-0.605113026011511,0.5257632087013699,-0.6036153186628944,0.604839022781715
SM,-0.05117896297064753,0.07705732717430316,-0.039654280943409115,-0.6069936920076326,-0.04447391269517774,-0.6069936920076326,-0.6236143455978997,0.20134627341410113,0.8299097841713189,1.0,0.9970219526249579,-0.14355302790340083,-0.4589815010950776,0.46483287009751206,-0.2713388261338664,0.8160378160626081,0.7814014598677262,0.7814014651252539,0.7814014558689774,0.732646012270422,-0.17652836119026583,-0.002605101494395276,-0.016312378850966782,-0.5162135255071568,0.7566936682814409,-0.7713107066912347,0.7986994288141028
