MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-23487,KIO3,"['I', 'K', 'O']",3,aflow:2b14842c370cdf6d,I1K1O3,"['I', 'K', 'O']",3
mp-4429,CaSiO3,"['Ca', 'O', 'Si']",3,aflow:cc56846288079507,Ca1O3Si1,"['Ca', 'O', 'Si']",3
mp-118,P,['P'],1,aflow:57cecbf3dc26e974,P1,['P'],1
mp-9548,GeAs,"['As', 'Ge']",2,aflow:b52900970e966f51,As1Ge1,"['As', 'Ge']",2
mp-2733,Al8Mo3,"['Al', 'Mo']",2,aflow:2758cc57bfa5c5ea,Al8Mo3,"['Al', 'Mo']",2
mp-23157,Bi,['Bi'],1,aflow:27bbd51ad4827863,Bi1,['Bi'],1
mp-352,HfO2,"['Hf', 'O']",2,aflow:fa3bd3969b846c2b,Hf1O2,"['Hf', 'O']",2
mp-2858,ZrO2,"['O', 'Zr']",2,aflow:50c9df791c600123,O2Zr1,"['O', 'Zr']",2
mp-557993,BiO2,"['Bi', 'O']",2,aflow:bfbbeb6a9f7e7f5a,Bi1O2,"['Bi', 'O']",2
mp-24082,Ta2H,"['H', 'Ta']",2,aflow:33d8042193c43c8f,H1Ta2,"['H', 'Ta']",2
mp-5777,BaTiO3,"['Ba', 'O', 'Ti']",3,aflow:08476bef4ba9f704,Ba1O3Ti1,"['Ba', 'O', 'Ti']",3
mp-5154,HoNiC2,"['C', 'Ho', 'Ni']",3,aflow:bc59337055eb36e8,C2Ho1Ni1,"['C', 'Ho', 'Ni']",3
mp-5106,TbCoC2,"['C', 'Co', 'Tb']",3,aflow:ef2a772d79509a04,C2Co1Tb1,"['C', 'Co', 'Tb']",3
mp-3061,TbNiC2,"['C', 'Ni', 'Tb']",3,aflow:d95968e06facc9bd,C2Ni1Tb1,"['C', 'Ni', 'Tb']",3
mp-999088,ThCoC2,"['C', 'Co', 'Th']",3,aflow:e00e76841156aae9,C2Co1Th1,"['C', 'Co', 'Th']",3
mp-974455,Re3Ru,"['Re', 'Ru']",2,aflow:e7c45a3ae6fc7c66,Re3Ru1,"['Re', 'Ru']",2
mp-433,DyAl,"['Al', 'Dy']",2,aflow:4eab5bfa96c55d55,Al1Dy1,"['Al', 'Dy']",2
mp-720,TlF,"['F', 'Tl']",2,aflow:41cae372cf494c78,F1Tl1,"['F', 'Tl']",2
mp-1078278,CrB4,"['B', 'Cr']",2,aflow:71617e3eeffef488,B4Cr1,"['B', 'Cr']",2
mp-1078253,MnB4,"['B', 'Mn']",2,aflow:81fd9bfaa37455a4,B4Mn1,"['B', 'Mn']",2
mp-669692,NbPd3,"['Nb', 'Pd']",2,aflow:4a08c90c16ea2eae,Nb1Pd3,"['Nb', 'Pd']",2
mp-4192,Ca3AsN,"['As', 'Ca', 'N']",3,aflow:d8eb08cc65124290,As1Ca3N1,"['As', 'Ca', 'N']",3
