compound,auid,aurl,Pearson_symbol_orig,point_group_Schoenflies_orig,point_group_structure_orig,point_group_type_orig,spacegroup_orig,spacegroup_relax,Pearson_symbol_relax,crystal_family,nspecies,species,natoms,density,volume_atom,volume_cell,bader_net_charges,bader_atomic_volumes,spin_atom,nbondxx,Egap,energy_atom,energy_cell,enthalpy_atom,enthalpy_cell,enthalpy_formation_cell,entropic_temperature,ael_bulk_modulus_reuss,ael_bulk_modulus_voigt,ael_bulk_modulus_vrh,ael_debye_temperature,ael_elastic_anisotropy,ael_poisson_ratio,ael_pughs_modulus_ratio,ael_shear_modulus_reuss,ael_shear_modulus_voigt,ael_shear_modulus_vrh,ael_speed_sound_average,ael_speed_sound_longitudinal,ael_speed_sound_transverse,ael_stiffness_tensor,ael_youngs_modulus_vrh,agl_acoustic_debye,agl_debye,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_gruneisen,agl_vibrational_entropy_300K_atom,agl_vibrational_entropy_300K_cell,agl_vibrational_free_energy_300K_atom,agl_vibrational_free_energy_300K_cell,
Nb2P2,aflow:001a4bbb607a30b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1P1_ICSD_76027,tI8,D_4h,2_x_dihedral,centrosymmetric,141,141,tI8,tetragonal,2,"['Nb', 'P']",4,6.3475,16.2039,64.8154,"[1.0503, 1.0606, -1.0542, -1.0567]","[14.73, 14.68, 17.69, 17.7]",0,"[3.15312, 2.48861, 3.15312]",0,-7.32258,-29.2903,-7.32258,-29.2903,,,147.162,169.852,158.507,455.098,2.46964,0.286052,0.499082,64.2347,93.9811,79.1079,3868.13,5392.58,3530.27,"[[319.7, 232.15, 52.55, 0, 0, 0], [231.467, 322.75, 52.55, 0, 0, 0], [54.75, 53.0167, 207.317, 0, 0, 0], [0, 0, 0, 48.6667, 0, 0], [0, 0, 0, 0, 48.6333, 0], [0, 0, 0, 0, 0, 202.5]]",203.474,295.451,469.053,10.8413,10.6662,16.883,0.0000277,1.96896,0.245604,0.982417,12.9887,51.9548,
Pt10Se8,aflow:0035c52ef4fe3fdc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Pt5Se4_ICSD_87926,mP18,C_2h,2_x_cyclic,centrosymmetric,14,14,mP18,monoclinic,2,"['Pt', 'Se']",18,12.5892,18.9249,340.649,"[-0.0668, -0.0668, -0.0641, -0.0641, -0.1131, -0.1131, -0.1131, -0.1131, -0.0545, -0.0545, 0.102, 0.1021, 0.1021, 0.102, 0.1038, 0.1038, 0.1036, 0.1036]","[18.67, 18.67, 18.66, 18.66, 19.39, 19.39, 19.39, 19.39, 18.41, 18.41, 18.93, 18.93, 18.93, 18.93, 18.97, 18.97, 18.97, 18.97]",0,"[2.66963, 2.45163, 3.23099]",0,-3.90997,-70.3794,-3.90997,-70.3794,,,132.302,132.491,132.396,236.215,1.04954,0.341654,0.354068,42.4302,51.3244,46.8773,2114.35,2947.62,1929.67,"[[159.217, 122.5, 106.75, 0, 0, 0], [122.25, 210.7, 87.1667, 0, 0, 0], [106.75, 87.15, 189.667, 0, 0, 0], [0, 0, 0, 34.8667, 0, 0], [0, 0, 0, 0, 52.1, 0], [0, 0, 0, 0, 0, 88.6]]",125.786,93.8666,245.998,53.8611,52.2938,1.33708,0.00004,2.4657,0.405243,7.29438,-41.5298,-747.536,
Ga1Pd2Sc1,aflow:004419866f33d7b2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Pd2Sc1_ICSD_103909,cF16,O_h,2_x_symmetric,centrosymmetric,225,225,cF16,cubic,3,"['Ga', 'Pd', 'Sc']",4,8.18949,16.601,66.4041,"[0.085, -0.8869, -0.8884, 1.6903]","[16, 19.95, 19.96, 10.5]",0,"[4.54538, 2.78346, 3.21407, 3.21407, 2.78346, 4.54538]",0,-4.09196,-16.3678,-4.09196,-16.3678,,,121.089,121.089,121.089,246.964,0.429569,0.383655,0.252255,29.2872,31.8033,30.5452,2116.1,2950.07,1931.27,"[[149.7, 106.783, 106.783, 0, 0, 0], [106.783, 149.7, 106.783, 0, 0, 0], [106.783, 106.783, 149.7, 0, 0, 0], [0, 0, 0, 38.7, 0, 0], [0, 0, 0, 0, 38.7, 0], [0, 0, 0, 0, 0, 38.7]]",84.5282,156.86,248.895,12.0123,11.6111,2.43747,0.0000498,2.28361,0.402005,1.60802,-40.4934,-161.973,
Cs3In9,aflow:006fb71322057339,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1In3_ICSD_102867,tI24,D_2d,dihedral,none,119,119,tI24,tetragonal,2,"['Cs', 'In']",12,5.37904,36.8414,442.096,"[0.646, 0.6721, 0.675, -0.1652, -0.2321, -0.2543, -0.2543, -0.2321, -0.2292, -0.1973, -0.1975, -0.2313]","[42.02, 42.45, 42.3, 34.35, 35.47, 35.68, 35.68, 35.47, 34.86, 34.47, 34.47, 34.88]",0,"[4.18231, 4.05105, 2.84119]",0,-2.29611,-27.5534,-2.29611,-27.5534,,,21.6734,21.7241,21.6987,152.596,0.814781,0.249797,0.600584,12.0527,14.0111,13.0319,1705.47,2377.61,1556.51,"[[45.2, 7.5, 11.0333, 0, 0, 0], [7.55, 45.3, 11.0333, 0, 0, 0], [10.7333, 10.7, 46.4833, 0, 0, 0], [0, 0, 0, 13.8667, 0, 0], [0, 0, 0, 0, 14.0167, 0], [0, 0, 0, 0, 0, 6.26667]]",32.5745,65.0817,148.99,41.4413,35.6387,0.36912,0.000194347,2.57809,0.552799,6.63359,-87.5026,-1050.03,
Ca1S1,aflow:007edcc20ee1c898,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1S1_ICSD_186785,cF8,O_h,2_x_symmetric,centrosymmetric,225,225,cF8,cubic,2,"['Ca', 'S']",2,2.56569,23.3449,46.6897,"[1.4403, -1.4403]","[14.09, 32.6]",0,"[4.04184, 2.85801, 4.04184]",2.381,-5.21916,-10.4383,-5.21916,-10.4383,-4.31089,36086,57.1111,57.1111,57.1111,444.799,0.210535,0.222083,0.682236,38.1599,39.7667,38.9633,4269.91,5952.7,3896.96,"[[123.733, 23.8, 23.8, 0, 0, 0], [23.8, 123.733, 23.8, 0, 0, 0], [23.8, 23.8, 123.733, 0, 0, 0], [0, 0, 0, 32.9667, 0, 0], [0, 0, 0, 0, 32.9667, 0], [0, 0, 0, 0, 0, 32.9667]]",95.2327,346.053,436.099,5.6097,5.42394,14.7572,0.0000585,1.93521,0.263961,0.527922,6.17766,12.3553,
Ag2I2,aflow:008f8da25d4acde9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,tP4,D_4h,2_x_dihedral,centrosymmetric,129,129,tP4,tetragonal,2,"['Ag', 'I']",4,5.76754,33.7968,135.187,"[0.3115, 0.3115, -0.3115, -0.3115]","[23.36, 23.36, 44.23, 44.23]",0,"[3.33897, 2.92575, 4.23623]",1.9774,-1.37165,-5.48662,-1.37165,-5.48662,,,10.2029,11.462,10.8325,86.4489,2.00831,0.327095,0.390866,3.56254,4.90556,4.23405,938.805,1308.79,856.806,"[[21.525, 6.39167, 9.1, 0, 0, 0], [6.39167, 21.525, 9.1, 0, 0, 0], [9.33333, 9.33333, 10.4583, 0, 0, 0], [0, 0, 0, 6.18333, 0, 0], [0, 0, 0, 0, 6.18333, 0], [0, 0, 0, 0, 0, 2.6]]",11.238,83.7847,133.151,13.2897,11.9,0.562013,0.000149012,2.49393,0.576844,2.30738,-94.8495,-379.398,
Ag1Zr2,aflow:0096426c57ae3f16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,tI6,D_4h,2_x_dihedral,centrosymmetric,139,139,tI6,tetragonal,2,"['Ag', 'Zr']",3,7.45234,21.5623,64.6869,"[-0.9736, 0.4311, 0.5425]","[23.5, 20.89, 20.3]",0,"[3.24652, 3.06117, 3.10267]",0,-5.86978,-17.6093,-5.86978,-17.6093,,,94.1046,94.5037,94.3041,251.4,3.0015,0.337855,0.363594,26.3813,42.1956,34.2884,2350.28,3276.54,2145,"[[147.717, 43.3333, 88.85, 0, 0, 0], [43.3333, 147.717, 88.85, 0, 0, 0], [89.15, 89.15, 112.433, 0, 0, 0], [0, 0, 0, 60.85, 0, 0], [0, 0, 0, 0, 60.8833, 0], [0, 0, 0, 0, 0, 27.0667]]",91.7458,178.887,258.016,8.88198,8.68414,6.13645,0.0000389,1.9271,0.391793,1.17538,-37.2142,-111.643,
La6Ru8Sn26,aflow:009ca3e52fd070b4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La3Ru4Sn13_ICSD_423134,cP40,O_h,2_x_symmetric,centrosymmetric,223,223,cP40,cubic,3,"['La', 'Ru', 'Sn']",40,7.92862,24.755,990.2,"[1.3852, 1.3852, 1.3852, 1.3852, 1.3852, 1.3852, -0.9031, -0.9031, -0.9031, -0.9031, -0.9031, -0.9031, -0.9031, -0.9031, -0.065, -0.009, 0.0072, -0.0812, -0.009, -0.009, -0.065, -0.065, -0.065, -0.009, 0.0072, -0.0811, -0.0811, -0.065, -0.009, 0.0072, -0.0812, 0.0072, -0.009, -0.065, -0.0812, -0.009, 0.0072, -0.065, -0.0993, -0.0993]","[24.11, 24.11, 24.11, 24.11, 24.11, 24.11, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 25.79, 25.4, 25.17, 26.02, 25.4, 25.4, 25.79, 25.79, 25.79, 25.4, 25.17, 26.02, 26.02, 25.79, 25.4, 25.17, 26.02, 25.17, 25.4, 25.79, 26.02, 25.4, 25.17, 25.79, 27.93, 27.93]",0,"[4.98361, 3.52395, 3.46753, 4.98361, 2.71043, 3.10653]",0,-4.67084,-186.834,-4.67084,-186.834,,,82.0611,82.0611,82.0611,223.659,0.497168,0.329089,0.385777,30.158,33.1567,31.6573,2189.43,3052.3,1998.2,"[[143.583, 51.3, 51.3, 0, 0, 0], [51.3, 143.583, 51.3, 0, 0, 0], [51.3, 51.3, 143.583, 0, 0, 0], [0, 0, 0, 24.5, 0, 0], [0, 0, 0, 0, 24.5, 0], [0, 0, 0, 0, 0, 24.5]]",84.1508,67.2524,230.033,120.456,116.68,0.689631,0.0000469,2.27079,0.422257,16.8903,-46.9472,-1877.89,
Cu1Hf1Hg2,aflow:009e856d237a0cd3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Hf1Hg2_ICSD_102969,cF16,T_d,symmetric,none,216,216,cF16,cubic,3,"['Cu', 'Hf', 'Hg']",4,14.017,19.0498,76.1993,"[-0.3249, 1.396, -0.7011, -0.3701]","[15.87, 16.47, 22.3, 21.56]",0,"[4.7587, 2.9141, 2.9141, 4.7587, 2.9141, 2.9141]",0,-3.05244,-12.2098,-3.05244,-12.2098,,,100.961,100.961,100.961,129.206,13.8991,0.426147,0.155355,6.56292,24.8067,15.6848,1159.06,1615.85,1057.82,"[[104.85, 99.0167, 99.0167, 0, 0, 0], [99.0167, 104.85, 99.0167, 0, 0, 0], [99.0167, 99.0167, 104.85, 0, 0, 0], [0, 0, 0, 39.4, 0, 0], [0, 0, 0, 0, 39.4, 0], [0, 0, 0, 0, 0, 39.4]]",44.7376,84.4147,134.009,12.4233,11.8885,0.638006,0.0000585,2.50532,0.56279,2.25116,-90.5582,-362.233,
Ca4Ge4Ni6,aflow:00a84646b3922c25,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca2Ge2Ni3_ICSD_421074,oP14,D_2h,2_x_dihedral,centrosymmetric,51,51,oP14,orthorhombic,3,"['Ca', 'Ge', 'Ni']",14,5.21772,18.2498,255.497,"[1.2719, 1.2719, 1.3319, 1.3319, -0.9069, -0.9071, -0.475, -0.475, -0.1507, -0.1507, -0.5364, -0.5364, -0.5347, -0.5347]","[15, 15, 15.19, 15.19, 27.91, 27.91, 22.58, 22.58, 14.74, 14.74, 16.17, 16.17, 16.17, 16.17]",0.137069,"[3.83614, 3.01597, 2.76241, 4.03901, 2.35508, 2.51262]",0,-3.24135,-45.3788,-3.24135,-45.3788,,,69.6395,71.2852,70.4623,344.725,0.609614,0.259377,0.573196,38.153,42.6244,40.3887,3048.47,4249.89,2782.21,"[[158.967, 33.7, 40.3833, 0, 0, 0], [32.5833, 115.433, 58.7, 0, 0, 0], [38.8, 59.6833, 104.767, 0, 0, 0], [0, 0, 0, 53.1667, 0, 0], [0, 0, 0, 0, 48.0333, 0], [0, 0, 0, 0, 0, 29.2667]]",101.729,148.539,358.008,40.4149,39.2357,3.49629,0.000053,1.87681,0.31164,4.36296,-10.665,-149.31,
