     Index              y_true              y_pred        descriptor_1
         1    0.1688300000E+02    0.1559039062E+02    0.1146892971E+02
         2    0.1337080000E+01    0.1416316592E+01    0.9440265618E+00
         3    0.2437470000E+01    0.3276396692E+01    0.2325221754E+01
         4    0.3691200000E+00    0.6187873572E+00    0.3518243522E+00
         5    0.1475720000E+02    0.1472817800E+02    0.1082869711E+02
         6    0.5620130000E+00    0.3821516051E+00    0.1761114014E+00
         7    0.6136450000E+01    0.5932567021E+01    0.4297550628E+01
         8    0.6896310000E+00    0.6439697535E+00    0.3705234420E+00
         9    0.6380060000E+00    0.1011520345E+01    0.6434466939E+00
        10    0.3496290000E+01    0.2886758471E+01    0.2035897419E+01
        11    0.1464190000E+01    0.1310312833E+01    0.8653138854E+00
        12    0.2852050000E+01    0.4387062319E+01    0.3149942165E+01
        13    0.8521990000E+01    0.1004457956E+02    0.7350909435E+01
        14    0.1819900000E+01    0.3038327788E+01    0.2148444622E+01
        15    0.2923770000E+01    0.2396683082E+01    0.1671993859E+01
        16    0.1396270000E+01    0.9052684740E+00    0.5645497834E+00
        17    0.3060180000E+01    0.3641512239E+01    0.2596336873E+01
        18    0.1483850000E+01    0.1570079939E+01    0.1058202933E+01
        19    0.3365410000E+01    0.3410071874E+01    0.2424481737E+01
        20    0.4359460000E+01    0.4006018067E+01    0.2866999248E+01
        21    0.2731780000E+01    0.1803765627E+01    0.1231725325E+01
        22    0.3333300000E+01    0.2822088829E+01    0.1987877230E+01
        23    0.6578010000E+00    0.8474611545E+00    0.5216251847E+00
        24    0.1266780000E+01    0.9176807317E+00    0.5737664567E+00
        25    0.2003120000E+01    0.1357370229E+01    0.9002561710E+00
        26    0.3672800000E+01    0.5048277991E+01    0.3640925272E+01
        27    0.2782770000E+01    0.3342880586E+01    0.2374589109E+01
        28    0.1171590000E+01    0.1732976398E+01    0.1179161060E+01
        29    0.3638240000E+01    0.4400638856E+01    0.3160023369E+01
        30    0.8293950000E+01    0.1022896287E+02    0.7487822538E+01
        31    0.6366150000E+01    0.7679402008E+01    0.5594656105E+01
        32    0.3288980000E+01    0.4582942200E+01    0.3295392003E+01
        33    0.3935790000E+01    0.5286098460E+01    0.3817517930E+01
        34    0.2997070000E+01    0.3399399688E+01    0.2416557147E+01
        35    0.1457180000E+02    0.1738395043E+02    0.1280073052E+02
        36    0.4014120000E+01    0.4294378823E+01    0.3081120398E+01
        37    0.1906600000E+01    0.2538400626E+01    0.1777225666E+01
        38    0.2726430000E+01    0.2915878102E+01    0.2057520087E+01
        39    0.2112840000E+01    0.2130424005E+01    0.1474284224E+01
        40    0.8574760000E+01    0.9728454060E+01    0.7116171680E+01
        41    0.8367110000E+01    0.7052253777E+01    0.5128969643E+01
        42    0.2273700000E+01    0.2303436645E+01    0.1602754082E+01
        43    0.1693090000E+01    0.1503892500E+01    0.1009055709E+01
        44    0.3795240000E+02    0.2541984837E+02    0.1876775506E+02
        45    0.9636070000E+01    0.9785068108E+01    0.7158210220E+01
        46    0.8327510000E+01    0.8312340337E+01    0.6064641982E+01
        47    0.4160730000E+01    0.4006591769E+01    0.2867425248E+01
        48    0.5231830000E+01    0.5823416966E+01    0.4216501682E+01
        49    0.1717420000E+01    0.1770115064E+01    0.1206738231E+01
        50    0.5832170000E+01    0.5083138179E+01    0.3666810568E+01
        51    0.1769660000E+01    0.2571972303E+01    0.1802154183E+01
        52    0.9293830000E+00    0.1054663000E+01    0.6754821032E+00
        53    0.2032290000E+01    0.1634796882E+01    0.1106258245E+01
        54    0.2248280000E+02    0.2084594671E+02    0.1537142230E+02
        55    0.2672670000E+01    0.2756371028E+01    0.1939078734E+01
        56    0.2604580000E+01    0.2485145212E+01    0.1737681067E+01
        57    0.7845370000E+01    0.8910716283E+01    0.6508963697E+01
        58    0.8356670000E+01    0.8536735486E+01    0.6231265721E+01
        59    0.1662880000E+01    0.1850780095E+01    0.1266635734E+01
        60    0.2376870000E+01    0.2729026811E+01    0.1918774393E+01
        61    0.8164050000E+01    0.9780524501E+01    0.7154836382E+01
        62    0.4856860000E+01    0.3593996588E+01    0.2561054313E+01
        63    0.5273300000E+01    0.5678956880E+01    0.4109233411E+01
        64    0.8975830000E+01    0.7936164491E+01    0.5785314081E+01
        65    0.1479910000E+01    0.1800256452E+01    0.1229119601E+01
        66    0.1545490000E+01    0.1307438044E+01    0.8631792223E+00
        67    0.3170930000E+02    0.3003116634E+02    0.2219187116E+02
        68    0.8130020000E+00    0.7883111226E+00    0.4777035602E+00
        69    0.1294050000E+01    0.1815529207E+01    0.1240460325E+01
        70    0.1582870000E+00    0.2961651033E+00    0.1122624613E+00
        71    0.7227430000E+01    0.1004858332E+02    0.7353882411E+01
        72    0.4244040000E+01    0.5635145928E+01    0.4076701760E+01
